Zone Name,Region,Population,Area Sq Km,Opened On,Is Active
Bulk Zone 0378,South,1378,18.5,2026-06-15,no
Bulk Zone 0379,North,1379,19.5,2026-06-16,yes
Bulk Zone 0380,South,1380,20.5,2026-06-17,yes
Bulk Zone 0381,North,1381,21.5,2026-06-18,no
Bulk Zone 0382,South,1382,22.5,2026-06-19,yes
Bulk Zone 0383,North,1383,23.5,2026-06-20,yes
Bulk Zone 0384,South,1384,24.5,2026-06-21,no
Bulk Zone 0385,North,1385,25.5,2026-06-22,yes
Bulk Zone 0386,South,1386,26.5,2026-06-23,yes
Bulk Zone 0387,North,1387,27.5,2026-06-24,no
Bulk Zone 0388,South,1388,28.5,2026-06-25,yes
Bulk Zone 0389,North,1389,29.5,2026-06-26,yes
Bulk Zone 0390,South,1390,30.5,2026-06-27,no
Bulk Zone 0391,North,1391,31.5,2026-06-28,yes
Bulk Zone 0392,South,1392,32.5,2026-06-01,yes
Bulk Zone 0393,North,1393,33.5,2026-06-02,no
Bulk Zone 0394,South,1394,34.5,2026-06-03,yes
Bulk Zone 0395,North,1395,35.5,2026-06-04,yes
Bulk Zone 0396,South,1396,36.5,2026-06-05,no
Bulk Zone 0397,North,1397,37.5,2026-06-06,yes
Bulk Zone 0398,South,1398,38.5,2026-06-07,yes
Bulk Zone 0399,North,1399,39.5,2026-06-08,no
Bulk Zone 0400,South,1400,40.5,2026-06-09,yes
Bulk Zone 0401,North,1401,41.5,2026-06-10,yes
Bulk Zone 0402,South,1402,42.5,2026-06-11,no
Bulk Zone 0403,North,1403,43.5,2026-06-12,yes
Bulk Zone 0404,South,1404,44.5,2026-06-13,yes
Bulk Zone 0405,North,1405,45.5,2026-06-14,no
Bulk Zone 0406,South,1406,46.5,2026-06-15,yes
Bulk Zone 0407,North,1407,47.5,2026-06-16,yes
Bulk Zone 0408,South,1408,48.5,2026-06-17,no
Bulk Zone 0409,North,1409,49.5,2026-06-18,yes
Bulk Zone 0410,South,1410,50.5,2026-06-19,yes
Bulk Zone 0411,North,1411,51.5,2026-06-20,no
Bulk Zone 0412,South,1412,52.5,2026-06-21,yes
Bulk Zone 0413,North,1413,53.5,2026-06-22,yes
Bulk Zone 0414,South,1414,54.5,2026-06-23,no
Bulk Zone 0415,North,1415,55.5,2026-06-24,yes
Bulk Zone 0416,South,1416,56.5,2026-06-25,yes
Bulk Zone 0417,North,1417,57.5,2026-06-26,no
Bulk Zone 0418,South,1418,58.5,2026-06-27,yes
Bulk Zone 0419,North,1419,59.5,2026-06-28,yes
Bulk Zone 0420,South,1420,60.5,2026-06-01,no
Bulk Zone 0421,North,1421,61.5,2026-06-02,yes
Bulk Zone 0422,South,1422,62.5,2026-06-03,yes
Bulk Zone 0423,North,1423,63.5,2026-06-04,no
Bulk Zone 0424,South,1424,64.5,2026-06-05,yes
Bulk Zone 0425,North,1425,65.5,2026-06-06,yes
Bulk Zone 0426,South,1426,66.5,2026-06-07,no
Bulk Zone 0427,North,1427,67.5,2026-06-08,yes
Bulk Zone 0428,South,1428,68.5,2026-06-09,yes
Bulk Zone 0429,North,1429,69.5,2026-06-10,no
Bulk Zone 0430,South,1430,70.5,2026-06-11,yes
Bulk Zone 0431,North,1431,71.5,2026-06-12,yes
Bulk Zone 0432,South,1432,72.5,2026-06-13,no
Bulk Zone 0433,North,1433,73.5,2026-06-14,yes
Bulk Zone 0434,South,1434,74.5,2026-06-15,yes
Bulk Zone 0435,North,1435,75.5,2026-06-16,no
Bulk Zone 0436,South,1436,76.5,2026-06-17,yes
Bulk Zone 0437,North,1437,77.5,2026-06-18,yes
Bulk Zone 0438,South,1438,78.5,2026-06-19,no
Bulk Zone 0439,North,1439,79.5,2026-06-20,yes
Bulk Zone 0440,South,1440,80.5,2026-06-21,yes
Bulk Zone 0441,North,1441,81.5,2026-06-22,no
Bulk Zone 0442,South,1442,82.5,2026-06-23,yes
Bulk Zone 0443,North,1443,83.5,2026-06-24,yes
Bulk Zone 0444,South,1444,84.5,2026-06-25,no
Bulk Zone 0445,North,1445,85.5,2026-06-26,yes
Bulk Zone 0446,South,1446,86.5,2026-06-27,yes
Bulk Zone 0447,North,1447,87.5,2026-06-28,no
Bulk Zone 0448,South,1448,88.5,2026-06-01,yes
Bulk Zone 0449,North,1449,89.5,2026-06-02,yes
Bulk Zone 0450,South,1450,0.5,2026-06-03,no
Bulk Zone 0451,North,1451,1.5,2026-06-04,yes
Bulk Zone 0452,South,1452,2.5,2026-06-05,yes
Bulk Zone 0453,North,1453,3.5,2026-06-06,no
Bulk Zone 0454,South,1454,4.5,2026-06-07,yes
Bulk Zone 0455,North,1455,5.5,2026-06-08,yes
Bulk Zone 0456,South,1456,6.5,2026-06-09,no
Bulk Zone 0457,North,1457,7.5,2026-06-10,yes
Bulk Zone 0458,South,1458,8.5,2026-06-11,yes
Bulk Zone 0459,North,1459,9.5,2026-06-12,no
Bulk Zone 0460,South,1460,10.5,2026-06-13,yes
Bulk Zone 0461,North,1461,11.5,2026-06-14,yes
Bulk Zone 0462,South,1462,12.5,2026-06-15,no
Bulk Zone 0463,North,1463,13.5,2026-06-16,yes
Bulk Zone 0464,South,1464,14.5,2026-06-17,yes
Bulk Zone 0465,North,1465,15.5,2026-06-18,no
Bulk Zone 0466,South,1466,16.5,2026-06-19,yes
Bulk Zone 0467,North,1467,17.5,2026-06-20,yes
Bulk Zone 0468,South,1468,18.5,2026-06-21,no
Bulk Zone 0469,North,1469,19.5,2026-06-22,yes
